Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Roll [deg],Pitch [deg],Yaw [deg]
155,6378292,-479.383164462844,19.9503235696192,0.999999992887957,-9.53851889379166,-9.20730735952538,-0.00431004547029782,4.31661028865258,-133.988007551946
156,6378293,-489.173314086654,10.5641917932088,0.999999992887957,-9.97678984441768,-9.57257031707926,-0.00439524953570927,4.13983022808667,-133.815696663038
157,6378294,-499.203073743681,0.795058239667497,0.999999992887957,-10.0146202279752,-9.96813696567118,-0.00448431284920044,4.05133196548653,-134.866944932393
158,6378295,-509.065530832366,-9.37160405689352,0.999999992887957,-9.64196504246553,-10.3622641716577,-0.00457368542573262,4.04440580003127,-137.062410361249
159,6378296,-518.352460911172,-19.9183374997026,0.999999992887959,-8.86625584208547,-10.7230538533521,-0.00465980614735882,4.11394198347199,-140.414926904478
160,6378297,-526.671706653248,-30.7965247228199,0.999999992887957,-7.71207772393754,-11.0204048710602,-0.00473924421783347,4.25475763432819,-145.01595322151
161,6378298,-533.66385451798,-41.929124670866,0.999999992887961,-6.22009307311018,-11.2278660579656,-0.00480883585923947,4.45744822535567,-151.014424728151
162,6378299,-539.017477382409,-53.2151692905239,0.999999992887957,-4.44526055119956,-11.3242880800374,-0.00486581068898766,4.70133912997364,-158.568255483126
163,6378300,-542.482275960229,-64.5357726772694,0.999999992887959,-2.4544295160707,-11.29518232809,-0.0049079013767928,4.94619918714188,-167.740688839779
164,6378301,-543.879546397577,-75.7613200179513,0.999999992887957,-0.323418080998832,-11.1337103783469,-0.00493343473782074,5.13105573665194,-178.336545567225
165,6378302,-543.109521631826,-86.7594365943585,0.999999992887957,1.86629392397337,-10.8412469311126,-0.0049413978825388,5.19403953760561,170.231959627128
166,6378303,-540.155274419192,-97.4032910278895,0.999999992887959,4.03110878872493,-10.4274815659796,-0.00493147876616755,5.11052347531136,158.863808749752
167,6378304,-535.083023950093,-107.579764346427,0.999999992887957,6.08893301080145,-9.9100489948136,-0.0049040787983137,4.91228220012781,148.432203638879
168,6378305,-528.038848633024,-117.19701864057,0.999999992887959,7.96271608580546,-9.31370250894751,-0.00486029663769934,4.66322907615779,139.470982573482
169,6378306,-519.24196760365,-126.191026080429,0.999999992887958,9.58374881633039,-8.66906972477953,-0.0048018847753549,4.42215559854859,132.130905470362
170,6378307,-508.974905523027,-134.530669647137,0.999999992887961,10.8945754636873,-8.011052278606,-0.00473117963264099,4.22628514229805,126.327696934435
171,6378308,-497.570992372515,-142.221098641694,0.999999992887959,11.8513921668817,-7.37695064227485,-0.00465100863717279,4.09423888263069,121.900131542298
172,6378309,-485.399766045327,-149.305111318545,0.999999992887958,12.425827889708,-6.80441070893685,-0.00456457765956721,4.03446690625773,118.704978726023
173,6378310,-472.850935379208,-155.862439381951,0.999999992887959,12.6060326102434,-6.32929941465832,-0.00447534309310779,4.05192711344095,116.660314832996
174,6378311,-460.317620904102,-162.006919408334,0.999999992887958,12.3970292081338,-5.9836218398847,-0.0043868746017776,4.15187611780301,115.764787452992
175,6378312,-448.179617433813,-167.881648902479,0.999999992887957,11.8203190575565,-5.79359166819537,-0.00430271255403824,4.34123503392714,116.111007707829
176,6378313,-436.787415674314,-173.652333881153,0.999999992887957,10.9127651424764,-5.77796054945566,-0.00422622715398401,4.62724618801811,117.899529222022
177,6378314,-426.447679779551,-179.4991349522,0.999999992887957,9.72480901648416,-5.94670009132377,-0.00416048391892013,5.01116929384825,121.445400763606
178,6378315,-417.410806316194,-185.607404579647,0.999999992887958,8.31810763978129,-6.30011343560826,-0.00410812173874063,5.47221115758952,127.13984975469
179,6378316,-409.861090888424,-192.1577750324,0.999999992887958,6.76270168659673,-6.82843246516618,-0.00407124736242752,5.93905891501846,135.276697985479
180,6378317,-403.909906468706,-199.316100753621,0.999999992887957,5.13384717252457,-7.51193264736421,-0.0040513511729789,6.2714380978546,145.6498575815
181,6378318,-399.592158058276,-207.223778009334,0.999999992887958,3.50865630230031,-8.3215715307754,-0.00404924814216922,6.31892675346139,157.137617972002
182,6378319,-396.866128196719,-215.988957365088,0.999999992887959,1.96270067700631,-9.22013025909612,-0.0040650446965863,6.05654210644337,167.98233703734
